EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
103751,1442904,D NALLEY'S,,970 S 3RD ST,,LOUISVILLE,KY,40203,FOOD SERVICE,38.2392,-85.7581,1/15/19 0:00,,,D NALLEY'S,
54481,1442963,TEXAS ROADHOUSE,,4406 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,38.1836,-85.8162,1/10/19 0:00,,,TEXAS ROADHOUSE,
43827,1442964,U OF L BELKNAP UNIVERSITY CLUB,,200 E BRANDEIS AVE,,LOUISVILLE,KY,40208,FOOD SERVICE,38.2187,-85.7561,11/15/18 0:00,,,U OF L BELKNAP UNIVERSITY CLUB,
33399,1446600,WICKS PIZZA,,975 BAXTER AVE,,LOUISVILLE,KY,40204,FOOD SERVICE,38.2407,-85.7238,1/21/19 0:00,,,WICKS PIZZA,
96481,1453613,RED LOBSTER #894,,986 BRECKENRIDGE LN,,LOUISVILLE,KY,40207,FOOD SERVICE,38.2324,-85.6398,2/26/19 0:00,,,RED LOBSTER #894,
78391,1457671,GOOSE CREEK DINER,,2923 GOOSE CREEK RD,,LOUISVILLE,KY,40241,FOOD SERVICE,38.2874,-85.578,3/20/19 0:00,,,GOOSE CREEK DINER,
34592,1465324,DIZZY WHIZ #1,,217 W ST. CATHERINE ST,,LOUISVILLE,KY,40203,FOOD SERVICE,38.2373,-85.7579,4/23/19 0:00,,,DIZZY WHIZ #1,
101518,1465339,MCDONALD'S,,207 W BROADWAY,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2463,-85.7553,4/23/19 0:00,,,MCDONALD'S,
34259,1465359,POPEYE'S,,3317 BARDSTOWN RD,,LOUISVILLE,KY,40218,FOOD SERVICE,38.2074,-85.6676,4/24/19 0:00,,,POPEYE'S,
107581,1465361,WENDYS,,5240 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,38.1851,-85.6394,3/27/19 0:00,99,,WENDYS,
94642,1465376,JOY LUCK ASIAN CUISINE,,1285 BARDSTOWN RD,,LOUISVILLE,KY,40204,FOOD SERVICE,38.2359,-85.7157,4/25/19 0:00,,,JOY LUCK ASIAN CUISINE,
94615,1450082,WILD RITA'S,,445 E MARKET ST,,LOUISVILLE,KY,40202,FOOD SERVICE,38.2539,-85.7445,2/15/19 0:00,,,WILD RITA'S,
